19
1: 0(0)->57(76)->169(313)->111(382)->0(427)
2: 0(0)->115(110)->16(150)->21(216)->187(259)->170(329)->42(421)->53(444)->192(462)->0(525)
3: 0(0)->184(70)->153(106)->166(161)->193(183)->151(221)->9(385)->97(470)->45(492)->24(511)->0(534)
4: 0(0)->73(24)->145(49)->35(114)->48(159)->162(206)->171(232)->134(303)->103(336)->101(366)->0(399)
5: 0(0)->157(31)->93(84)->199(102)->165(248)->31(277)->17(346)->161(388)->185(416)->148(436)->0(501)
6: 0(0)->63(43)->51(97)->8(166)->76(236)->142(320)->200(411)->77(510)->58(533)->37(585)->0(629)
7: 0(0)->196(22)->30(74)->128(90)->121(135)->113(187)->1(208)->69(259)->116(315)->14(351)->197(531)->0(566)
8: 0(0)->4(32)->188(58)->71(112)->89(206)->125(240)->118(324)->159(359)->47(417)->82(430)->52(495)->0(533)
9: 0(0)->168(72)->92(107)->112(160)->99(180)->38(242)->178(285)->23(347)->29(393)->91(486)->61(535)->117(549)->0(633)
10: 0(0)->140(12)->13(64)->20(92)->94(177)->127(223)->189(266)->6(285)->177(361)->102(443)->10(487)->90(510)->0(562)
11: 0(0)->55(37)->41(72)->137(145)->68(164)->7(203)->175(249)->182(311)->167(386)->179(421)->190(492)->72(542)->0(593)
12: 0(0)->155(18)->44(67)->143(127)->131(190)->11(209)->130(223)->160(269)->180(309)->154(392)->81(408)->149(425)->119(490)->0(501)
13: 0(0)->120(64)->59(139)->152(169)->163(220)->104(247)->100(260)->136(282)->173(307)->83(458)->32(483)->60(515)->0(552)
14: 0(0)->46(29)->15(62)->135(137)->133(188)->64(216)->109(240)->25(284)->79(315)->156(355)->139(402)->78(417)->105(499)->0(522)
15: 0(0)->106(43)->85(74)->129(99)->141(121)->54(161)->12(209)->19(242)->95(271)->39(328)->164(370)->70(448)->107(484)->75(570)->0(625)
16: 0(0)->132(11)->18(63)->123(118)->34(216)->98(244)->62(269)->84(297)->138(325)->22(376)->96(409)->174(441)->74(463)->108(560)->0(588)
17: 0(0)->87(14)->146(60)->122(96)->2(126)->176(209)->126(347)->172(385)->50(418)->150(470)->80(494)->28(513)->147(555)->56(584)->0(628)
18: 0(0)->67(62)->36(106)->3(131)->5(148)->66(186)->124(268)->181(309)->88(355)->183(370)->40(412)->194(460)->198(512)->114(533)->0(591)
19: 0(0)->158(56)->26(99)->86(176)->49(207)->195(234)->27(249)->33(334)->186(360)->144(383)->191(419)->43(439)->65(464)->110(559)->0(606)
6209.794136405522
